Transaction_ID,Date,Department,Vendor_Name,Employee_ID,Amount_INR,Payment_Method,Invoice_Number,Approval_Status,Risk_Category,Audit_Flag,Location,Expense_Type,Duplicate_Transaction,Late_Payment,Outside_Business_Hours
TXN00201,2024-12-10 04:20:00,Finance,Dr Reddy Labs,EMP1157,62889.71,Bank Transfer,INV248225,Approved,Low,Yes,Kolkata,Miscellaneous,No,No,Yes
TXN00817,2024-01-09 18:43:00,Finance,Honeywell Automation,EMP1053,400753.67,Bank Transfer,INV483561,Approved,High,Yes,Ahmedabad,Consulting,Yes,No,Yes
TXN00573,2024-10-12 08:57:00,HR,Colgate,EMP1310,336395.52,Credit Card,INV559094,Pending,High,Yes,Delhi,Travel,No,No,Yes
TXN00845,2024-09-23 22:21:00,Procurement,Britannia,EMP1352,377549.96,Credit Card,INV824061,Approved,High,Yes,Mumbai,Salary,Yes,No,Yes
TXN00178,2024-09-25 04:15:00,HR,Schneider Electric,EMP1270,129947.01,Bank Transfer,INV933551,Approved,Low,No,Chennai,Software,No,No,Yes
TXN00991,2024-07-10 03:21:00,Procurement,Asian Paints,EMP1021,778074.25,Cash,INV900244,Pending,High,Yes,Delhi,Miscellaneous,No,Yes,Yes
TXN00985,2024-11-24 23:28:00,HR,Wipro Technologies,EMP1487,676043.14,Bank Transfer,INV263267,Pending,High,Yes,Chennai,Software,No,Yes,Yes
TXN00022,2024-02-07 00:29:00,IT,Honeywell Automation,EMP1052,41264.06,Bank Transfer,INV378082,Approved,Low,Yes,Chennai,Equipment,No,No,Yes
TXN00851,2024-12-14 04:33:00,Procurement,Sun Pharma,EMP1165,127890.28,Cheque,INV435476,Approved,High,Yes,Mumbai,Salary,Yes,No,No
TXN00481,2024-11-13 10:47:00,Finance,Colgate,EMP1485,455452.04,Bank Transfer,INV154067,Approved,Low,No,Pune,Equipment,No,No,No
TXN00134,2024-04-10 20:35:00,Sales,Axis Bank,EMP1321,154898.18,Bank Transfer,INV626986,Approved,Low,No,Bangalore,Software,No,No,Yes
TXN00065,2024-11-18 19:51:00,HR,Tata Motors,EMP1160,277665.31,Credit Card,INV197736,Approved,Medium,Yes,Delhi,Software,No,No,Yes
TXN00131,2024-04-24 03:12:00,HR,Dr Reddy Labs,EMP1405,249540.86,Bank Transfer,INV700076,Approved,Medium,No,Delhi,Travel,No,No,Yes
